hotel_id,longitude,latitude
1001,148.001,-31.35
1002,148.001,-31.827
1003,148.002,-32.579
1004,148.004,-33.502
1005,148.006,-31.453
1006,148.007,-33.178
1007,148.007,-34.214
1008,148.009,-34.057
1009,148.009,-34.145
1010,148.009,-33.036
1011,148.01,-35.642
1012,148.011,-31.166
1013,148.012,-34.432
1014,148.012,-35.198
1015,148.013,-31.199
1016,148.014,-31.331
1017,148.017,-31.299
1018,148.018,-35.195
1019,148.018,-34.649
1020,148.019,-35.858
1021,148.025,-34.422
1022,148.026,-35.271
1023,148.026,-34.083
1024,148.029,-31.716
1025,148.029,-35.098
1026,148.031,-32.369
1027,148.031,-31.079
1028,148.031,-32.862
1029,148.032,-35.399
1030,148.033,-33.485
1031,148.033,-35.181
1032,148.034,-32.992
1033,148.034,-31.283
1034,148.034,-32.629
1035,148.036,-32.879
1036,148.036,-32.799
1037,148.038,-32.469
1038,148.04,-33.225
1039,148.04,-31.926
1040,148.04,-34.565
1041,148.041,-33.318
1042,148.042,-33.356
1043,148.043,-34.857
1044,148.043,-35.036
1045,148.044,-33.278
1046,148.044,-32.835
1047,148.045,-31.68
1048,148.046,-35.201
1049,148.046,-34.805
1050,148.047,-31.159
1051,148.048,-33.78
1052,148.049,-31.734
1053,148.049,-34.179
1054,148.049,-35.239
1055,148.049,-32.197
1056,148.053,-35.512
1057,148.053,-34.542
1058,148.054,-33.714
1059,148.055,-34.514
1060,148.057,-32.737
1061,148.058,-32.96
1062,148.058,-32.776
1063,148.059,-32.758
1064,148.06,-33.15
1065,148.06,-35.205
1066,148.06,-32.629
1067,148.06,-31.152
1068,148.063,-33.327
1069,148.063,-34.358
1070,148.063,-35.381
1071,148.064,-31.872
1072,148.064,-31.253
1073,148.064,-34.487
1074,148.064,-32.134
1075,148.067,-32.393
1076,148.067,-31.082
1077,148.067,-33.739
1078,148.068,-32.643
1079,148.069,-32.674
1080,148.07,-31.61
1081,148.072,-34.649
1082,148.073,-32.533
1083,148.073,-32.372
1084,148.074,-31.616
1085,148.074,-32.843
1086,148.077,-33.393
1087,148.077,-34.163
1088,148.078,-31.155
1089,148.078,-35.451
1090,148.079,-35.935
1091,148.079,-31.731
1092,148.083,-34.14
1093,148.084,-35.551
1094,148.084,-35.09
1095,148.085,-32.053
1096,148.088,-33.882
1097,148.092,-35.301
1098,148.093,-31.677
1099,148.094,-33.264
1100,148.095,-35.347
1101,148.096,-34.791
1102,148.098,-34.991
1103,148.098,-33.668
1104,148.1,-31.392
1105,148.1,-31.398
1106,148.101,-34.314
1107,148.101,-34.488
1108,148.103,-35.293
1109,148.104,-32.584
1110,148.105,-35.005
1111,148.106,-32.225
1112,148.107,-33.159
1113,148.109,-32.257
1114,148.11,-33.246
1115,148.112,-33.695
1116,148.113,-33.325
1117,148.114,-34.334
1118,148.114,-32.627
1119,148.115,-35.153
1120,148.117,-34.357
1121,148.117,-32.028
1122,148.119,-32.976
1123,148.12,-34.538
1124,148.121,-35.15
1125,148.124,-32.817
1126,148.124,-34.891
1127,148.125,-33.937
